SCHOOL #,SCHOOL NAME,ADDRESS,SchoolType,GRADE,AllStudents,Male,Female,AmericanIndian,Asian,Black,White,Hispanic,PacificIslander,MultipleRace,ESOL,FARMS,SpEd
125,Quince Orchard HS,"15800 Quince Orchard Road  Gaithersburg, MD 20878",HS,11,517,263,254,--,64,85,242,108,--,--,28,105,40
125,Quince Orchard HS,"15800 Quince Orchard Road  Gaithersburg, MD 20878",HS,12,440,213,227,--,65,60,201,94,--,--,--,84,31
152,Poolesville HS,"17501 Willard Road  Poolesville, MD  20837",HS,09,301,144,157,--,96,--,145,29,--,--,--,26,--
152,Poolesville HS,"17501 Willard Road  Poolesville, MD  20837",HS,10,322,173,149,--,86,24,165,24,--,21,--,22,--
152,Poolesville HS,"17501 Willard Road  Poolesville, MD  20837",HS,11,283,146,137,--,85,--,144,23,--,--,--,--,--
152,Poolesville HS,"17501 Willard Road  Poolesville, MD  20837",HS,12,299,134,165,--,77,--,167,21,--,--,--,--,--
153,Poolesville ES,"19565 Fisher Avenue  Poolesville, MD  20837",ES,K,51,25,26,--,--,--,36,--,--,--,--,--,--
153,Poolesville ES,"19565 Fisher Avenue  Poolesville, MD  20837",ES,01,61,28,33,--,--,--,43,--,--,--,--,--,--
153,Poolesville ES,"19565 Fisher Avenue  Poolesville, MD  20837",ES,02,73,36,37,--,--,--,58,--,--,--,--,--,--
153,Poolesville ES,"19565 Fisher Avenue  Poolesville, MD  20837",ES,03,65,34,31,--,--,--,48,--,--,--,--,--,--
153,Poolesville ES,"19565 Fisher Avenue  Poolesville, MD  20837",ES,04,78,39,39,--,--,--,59,--,--,--,--,--,--
153,Poolesville ES,"19565 Fisher Avenue  Poolesville, MD  20837",ES,05,89,40,49,--,--,--,67,--,--,--,--,--,--
155,Rosa M. Parks MS,"19200 Olney Mill Road  Olney, MD 20832",MS,06,293,150,143,--,28,30,187,38,--,--,--,34,31
155,Rosa M. Parks MS,"19200 Olney Mill Road  Olney, MD 20832",MS,07,303,152,151,--,36,33,188,28,--,--,--,24,22
155,Rosa M. Parks MS,"19200 Olney Mill Road  Olney, MD 20832",MS,08,306,157,149,--,29,29,195,34,--,--,--,30,--
156,Lois P. Rockwell ES,"24555 Cutsail Drive  Damascus, MD 20872",ES,PreK,54,43,--,--,--,--,--,--,--,--,,--,53
156,Lois P. Rockwell ES,"24555 Cutsail Drive  Damascus, MD 20872",ES,K,62,28,34,--,--,--,31,21,--,--,--,--,--
156,Lois P. Rockwell ES,"24555 Cutsail Drive  Damascus, MD 20872",ES,01,65,30,35,--,--,--,36,--,--,--,--,--,--
156,Lois P. Rockwell ES,"24555 Cutsail Drive  Damascus, MD 20872",ES,02,66,31,35,--,--,--,37,--,--,--,--,--,--
156,Lois P. Rockwell ES,"24555 Cutsail Drive  Damascus, MD 20872",ES,03,72,37,35,--,--,--,35,--,--,--,--,--,--
156,Lois P. Rockwell ES,"24555 Cutsail Drive  Damascus, MD 20872",ES,04,71,32,39,--,--,--,35,21,--,--,--,--,--
156,Lois P. Rockwell ES,"24555 Cutsail Drive  Damascus, MD 20872",ES,05,69,31,38,--,--,--,30,--,--,--,--,--,--
157,Roberto W. Clemente MS,"18808 Waring Station Road  Germantown, MD 20874",MS,06,459,245,214,--,122,116,62,134,--,24,24,159,40
157,Roberto W. Clemente MS,"18808 Waring Station Road  Germantown, MD 20874",MS,07,448,236,212,--,108,111,78,123,--,27,26,149,47
157,Roberto W. Clemente MS,"18808 Waring Station Road  Germantown, MD 20874",MS,08,370,177,193,--,100,92,54,105,--,--,--,125,35
158,Ronald McNair ES,"13881 Hopkins Road  Germantown, MD  20874",ES,PreK,--,--,--,--,--,--,--,--,--,--,--,--,
158,Ronald McNair ES,"13881 Hopkins Road  Germantown, MD  20874",ES,K,128,57,71,--,41,24,31,23,--,--,38,30,--
158,Ronald McNair ES,"13881 Hopkins Road  Germantown, MD  20874",ES,01,137,67,70,--,42,33,31,22,--,--,36,37,--
158,Ronald McNair ES,"13881 Hopkins Road  Germantown, MD  20874",ES,02,146,73,73,--,50,28,35,23,--,--,32,36,--
158,Ronald McNair ES,"13881 Hopkins Road  Germantown, MD  20874",ES,03,131,66,65,--,40,33,27,--,--,--,--,31,--
158,Ronald McNair ES,"13881 Hopkins Road  Germantown, MD  20874",ES,04,144,77,67,--,40,33,44,--,--,--,--,37,--
158,Ronald McNair ES,"13881 Hopkins Road  Germantown, MD  20874",ES,05,133,66,67,--,37,29,37,23,--,--,--,30,--
159,Rachel Carson ES,"100 Tschiffely Square Road  Gaithersburg, MD  20878",ES,PreK,49,25,24,--,--,--,--,27,--,--,25,39,--
159,Rachel Carson ES,"100 Tschiffely Square Road  Gaithersburg, MD  20878",ES,K,165,83,82,--,30,--,79,34,--,--,29,36,--
159,Rachel Carson ES,"100 Tschiffely Square Road  Gaithersburg, MD  20878",ES,01,177,86,91,--,34,--,82,35,--,--,29,31,--
159,Rachel Carson ES,"100 Tschiffely Square Road  Gaithersburg, MD  20878",ES,02,173,81,92,--,--,--,95,36,--,--,--,38,--
159,Rachel Carson ES,"100 Tschiffely Square Road  Gaithersburg, MD  20878",ES,03,186,91,95,--,31,--,98,32,--,--,23,--,--
159,Rachel Carson ES,"100 Tschiffely Square Road  Gaithersburg, MD  20878",ES,04,155,78,77,--,21,--,89,24,--,--,--,29,--
159,Rachel Carson ES,"100 Tschiffely Square Road  Gaithersburg, MD  20878",ES,05,141,68,73,--,21,--,80,26,--,--,--,22,--
201,Richard Montgomery HS,"250 Richard Montgomery Drive  Rockville, MD  20852",HS,09,622,325,297,--,160,79,171,175,--,34,117,149,43
201,Richard Montgomery HS,"250 Richard Montgomery Drive  Rockville, MD  20852",HS,10,597,292,305,--,141,107,188,130,--,28,74,113,45
201,Richard Montgomery HS,"250 Richard Montgomery Drive  Rockville, MD  20852",HS,11,547,267,280,--,143,84,159,131,--,29,35,91,38
201,Richard Montgomery HS,"250 Richard Montgomery Drive  Rockville, MD  20852",HS,12,478,226,252,--,128,72,166,90,--,22,22,60,26
204,Garrett Park ES,"4810 Oxford Street Kensington, MD 20895",ES,K,160,91,69,--,32,--,62,33,--,--,47,29,--
204,Garrett Park ES,"4810 Oxford Street Kensington, MD 20895",ES,01,143,72,71,--,28,--,57,25,--,--,55,23,--
204,Garrett Park ES,"4810 Oxford Street Kensington, MD 20895",ES,02,145,77,68,--,21,--,67,33,--,--,31,25,--
204,Garrett Park ES,"4810 Oxford Street Kensington, MD 20895",ES,03,116,62,54,--,--,--,54,25,--,--,--,--,--
204,Garrett Park ES,"4810 Oxford Street Kensington, MD 20895",ES,04,115,59,56,--,--,--,51,25,--,--,--,23,--
204,Garrett Park ES,"4810 Oxford Street Kensington, MD 20895",ES,05,118,69,49,--,--,--,54,--,--,--,--,--,--
206,Twinbrook ES,"5911 Ridgway Avenue  Rockville, MD  20851",ES,PreK,64,32,32,--,--,--,--,42,--,--,46,61,--
206,Twinbrook ES,"5911 Ridgway Avenue  Rockville, MD  20851",ES,K,92,47,45,--,--,--,--,56,--,--,60,61,--
206,Twinbrook ES,"5911 Ridgway Avenue  Rockville, MD  20851",ES,01,73,36,37,--,--,--,--,50,--,--,45,43,--
206,Twinbrook ES,"5911 Ridgway Avenue  Rockville, MD  20851",ES,02,101,55,46,--,--,--,--,57,--,--,51,62,--
206,Twinbrook ES,"5911 Ridgway Avenue  Rockville, MD  20851",ES,03,72,39,33,--,--,--,--,45,--,--,36,44,--
206,Twinbrook ES,"5911 Ridgway Avenue  Rockville, MD  20851",ES,04,75,38,37,--,--,--,--,44,--,--,--,44,--
206,Twinbrook ES,"5911 Ridgway Avenue  Rockville, MD  20851",ES,05,70,41,29,--,--,--,--,40,--,--,--,42,--
207,Beall ES,"451 Beall Avenue  Rockville, MD  20850",ES,PreK,64,35,29,--,--,--,--,23,--,--,--,40,23
207,Beall ES,"451 Beall Avenue  Rockville, MD  20850",ES,K,132,68,64,--,37,--,50,22,--,--,36,39,--
207,Beall ES,"451 Beall Avenue  Rockville, MD  20850",ES,01,130,69,61,--,36,--,40,31,--,--,36,31,--
207,Beall ES,"451 Beall Avenue  Rockville, MD  20850",ES,02,134,72,62,--,34,--,51,23,--,--,22,34,--
207,Beall ES,"451 Beall Avenue  Rockville, MD  20850",ES,03,113,59,54,--,22,--,42,23,--,--,21,27,--
207,Beall ES,"451 Beall Avenue  Rockville, MD  20850",ES,04,118,70,48,--,24,--,45,24,--,--,--,--,--
207,Beall ES,"451 Beall Avenue  Rockville, MD  20850",ES,05,133,71,62,--,21,21,50,30,--,--,--,34,--
209,Lakewood ES,"2534 Lindley Terrace  Rockville, MD  20850",ES,K,68,40,28,--,32,--,--,--,--,--,--,--,--
209,Lakewood ES,"2534 Lindley Terrace  Rockville, MD  20850",ES,01,80,36,44,--,39,--,--,--,--,--,--,--,--
209,Lakewood ES,"2534 Lindley Terrace  Rockville, MD  20850",ES,02,93,47,46,--,44,--,27,--,--,--,--,--,--
209,Lakewood ES,"2534 Lindley Terrace  Rockville, MD  20850",ES,03,107,51,56,--,41,--,38,--,--,--,--,--,--
209,Lakewood ES,"2534 Lindley Terrace  Rockville, MD  20850",ES,04,104,45,59,--,50,--,28,--,--,--,--,--,--
209,Lakewood ES,"2534 Lindley Terrace  Rockville, MD  20850",ES,05,91,41,50,--,39,--,34,--,--,--,--,--,--
210,Maryvale ES,"1000 First Street  Rockville, MD  20850",ES,PreK,85,42,43,--,--,21,--,41,--,--,43,75,--
210,Maryvale ES,"1000 First Street  Rockville, MD  20850",ES,K,92,42,50,--,--,27,--,25,--,--,25,33,--
210,Maryvale ES,"1000 First Street  Rockville, MD  20850",ES,01,100,54,46,--,--,26,32,27,--,--,31,35,--
210,Maryvale ES,"1000 First Street  Rockville, MD  20850",ES,02,93,42,51,--,--,25,25,26,--,--,25,36,--
210,Maryvale ES,"1000 First Street  Rockville, MD  20850",ES,03,91,36,55,--,--,26,28,26,--,--,23,34,--
210,Maryvale ES,"1000 First Street  Rockville, MD  20850",ES,04,84,38,46,--,--,--,26,27,--,--,--,26,--
210,Maryvale ES,"1000 First Street  Rockville, MD  20850",ES,05,75,32,43,--,--,--,23,21,--,--,--,21,--
211,Julius West MS,"651 Great Falls Road  Rockville, MD  20850",MS,06,429,224,205,--,105,51,146,98,--,27,42,112,39
211,Julius West MS,"651 Great Falls Road  Rockville, MD  20850",MS,07,431,237,194,--,80,66,134,120,--,31,67,122,37
211,Julius West MS,"651 Great Falls Road  Rockville, MD  20850",MS,08,419,211,208,--,83,63,148,106,--,--,41,104,--
212,Meadow Hall ES,"951 Twinbrook Parkway  Rockville, MD 20851",ES,K,97,53,44,--,--,--,--,51,--,--,29,60,--
212,Meadow Hall ES,"951 Twinbrook Parkway  Rockville, MD 20851",ES,01,69,37,32,--,--,--,22,34,--,--,--,33,--
212,Meadow Hall ES,"951 Twinbrook Parkway  Rockville, MD 20851",ES,02,80,44,36,--,--,--,--,43,--,--,26,44,--
212,Meadow Hall ES,"951 Twinbrook Parkway  Rockville, MD 20851",ES,03,72,39,33,--,--,--,--,38,--,--,25,32,--
212,Meadow Hall ES,"951 Twinbrook Parkway  Rockville, MD 20851",ES,04,78,44,34,--,--,--,--,47,--,--,--,44,--
212,Meadow Hall ES,"951 Twinbrook Parkway  Rockville, MD 20851",ES,05,66,37,29,--,--,--,--,34,--,--,--,34,--
215,Carl Sandburg Learning Center,"451 Meadow Hall Drive  Rockville, MD 20851",Special,K,--,--,,--,--,--,--,--,--,--,--,--,--
215,Carl Sandburg Learning Center,"451 Meadow Hall Drive  Rockville, MD 20851",Special,01,--,--,,--,--,--,--,--,--,--,--,--,--
215,Carl Sandburg Learning Center,"451 Meadow Hall Drive  Rockville, MD 20851",Special,02,21,--,--,--,--,--,--,--,--,--,--,--,21
215,Carl Sandburg Learning Center,"451 Meadow Hall Drive  Rockville, MD 20851",Special,03,--,--,,--,--,--,--,--,--,--,--,--,--
215,Carl Sandburg Learning Center,"451 Meadow Hall Drive  Rockville, MD 20851",Special,04,--,--,--,--,--,--,--,--,--,--,--,--,--
215,Carl Sandburg Learning Center,"451 Meadow Hall Drive  Rockville, MD 20851",Special,05,--,--,--,--,--,--,--,--,--,--,--,--,--
216,Travilah ES,"13801 DuFief Mill Road  North Potomac, MD 20878",ES,PreK,--,--,,--,--,--,--,--,--,--,,,--
216,Travilah ES,"13801 DuFief Mill Road  North Potomac, MD 20878",ES,K,40,--,24,--,--,--,--,--,--,--,--,--,--
216,Travilah ES,"13801 DuFief Mill Road  North Potomac, MD 20878",ES,01,60,30,30,--,26,--,27,--,--,--,--,--,--
216,Travilah ES,"13801 DuFief Mill Road  North Potomac, MD 20878",ES,02,67,28,39,--,37,--,24,--,--,--,--,--,--
216,Travilah ES,"13801 DuFief Mill Road  North Potomac, MD 20878",ES,03,78,43,35,--,40,--,27,--,--,--,--,--,--
216,Travilah ES,"13801 DuFief Mill Road  North Potomac, MD 20878",ES,04,57,28,29,--,25,--,22,--,--,--,,--,--
216,Travilah ES,"13801 DuFief Mill Road  North Potomac, MD 20878",ES,05,84,33,51,--,35,--,33,--,--,--,--,--,--
219,Farmland ES,"7000 Old Gate Road  Rockville, MD  20852",ES,K,119,60,59,--,40,--,57,--,--,--,58,--,--
219,Farmland ES,"7000 Old Gate Road  Rockville, MD  20852",ES,01,116,61,55,--,40,--,58,--,--,--,45,--,--
412,Westland MS,"5511 Massachusetts Avenue  Bethesda, MD  20816",MS,07,479,246,233,--,24,45,309,70,--,29,37,51,43
219,Farmland ES,"7000 Old Gate Road  Rockville, MD  20852",ES,02,128,66,62,--,45,--,50,--,--,--,44,--,--
219,Farmland ES,"7000 Old Gate Road  Rockville, MD  20852",ES,03,129,77,52,--,47,--,63,--,--,--,35,--,--
219,Farmland ES,"7000 Old Gate Road  Rockville, MD  20852",ES,04,93,47,46,--,27,--,46,--,--,--,23,--,--
219,Farmland ES,"7000 Old Gate Road  Rockville, MD  20852",ES,05,101,57,44,--,24,--,53,--,--,--,--,--,--
220,Luxmanor ES,"6201 Tilden Lane  Rockville, MD  20852",ES,PreK,--,--,--,--,--,--,--,--,--,--,,--,--
220,Luxmanor ES,"6201 Tilden Lane  Rockville, MD  20852",ES,K,61,29,32,--,--,--,--,--,--,--,26,--,--
220,Luxmanor ES,"6201 Tilden Lane  Rockville, MD  20852",ES,01,76,40,36,--,--,--,27,--,--,--,--,--,--
220,Luxmanor ES,"6201 Tilden Lane  Rockville, MD  20852",ES,02,59,25,34,--,--,--,22,--,--,--,23,--,--
220,Luxmanor ES,"6201 Tilden Lane  Rockville, MD  20852",ES,03,71,37,34,--,--,--,30,--,--,--,--,--,--
220,Luxmanor ES,"6201 Tilden Lane  Rockville, MD  20852",ES,04,67,31,36,--,--,--,38,--,--,--,--,--,--
220,Luxmanor ES,"6201 Tilden Lane  Rockville, MD  20852",ES,05,83,40,43,--,24,--,28,--,--,--,--,--,--
226,Beverly Farms ES,"8501 Postoak Road  Potomac, MD  20854",ES,K,69,33,36,--,25,--,27,--,--,--,--,--,--
226,Beverly Farms ES,"8501 Postoak Road  Potomac, MD  20854",ES,01,97,53,44,--,25,--,46,--,--,--,--,--,--
226,Beverly Farms ES,"8501 Postoak Road  Potomac, MD  20854",ES,02,93,47,46,--,25,--,47,--,--,--,--,--,--
226,Beverly Farms ES,"8501 Postoak Road  Potomac, MD  20854",ES,03,106,50,56,--,33,--,48,--,--,--,--,--,--
226,Beverly Farms ES,"8501 Postoak Road  Potomac, MD  20854",ES,04,106,52,54,--,31,--,51,--,--,--,--,--,--
226,Beverly Farms ES,"8501 Postoak Road  Potomac, MD  20854",ES,05,126,62,64,--,37,--,58,--,--,--,--,--,--
227,Ritchie Park ES,"1514 Dunster Road  Rockville, MD  20854",ES,K,67,31,36,--,--,--,32,--,--,--,--,--,--
227,Ritchie Park ES,"1514 Dunster Road  Rockville, MD  20854",ES,01,99,51,48,--,26,--,42,--,--,--,--,--,--
227,Ritchie Park ES,"1514 Dunster Road  Rockville, MD  20854",ES,02,107,51,56,--,24,--,48,--,--,--,--,24,--
227,Ritchie Park ES,"1514 Dunster Road  Rockville, MD  20854",ES,03,83,40,43,--,--,--,34,--,--,--,--,21,--
227,Ritchie Park ES,"1514 Dunster Road  Rockville, MD  20854",ES,04,84,41,43,--,--,--,38,--,--,--,--,--,--
227,Ritchie Park ES,"1514 Dunster Road  Rockville, MD  20854",ES,05,92,46,46,--,21,--,38,--,--,--,--,25,--
228,Herbert Hoover MS,"8810 Postoak Road  Potomac, MD 20854",MS,06,349,175,174,--,114,23,174,--,--,--,--,--,35
228,Herbert Hoover MS,"8810 Postoak Road  Potomac, MD 20854",MS,07,330,172,158,--,101,27,166,--,--,23,--,--,37
228,Herbert Hoover MS,"8810 Postoak Road  Potomac, MD 20854",MS,08,359,191,168,--,106,--,186,26,--,24,--,--,39
229,College Gardens ES,"1700 Yale Place  Rockville, MD  20850",ES,PreK,--,--,--,--,--,--,--,--,--,--,--,--,
229,College Gardens ES,"1700 Yale Place  Rockville, MD  20850",ES,K,137,72,65,--,29,31,43,24,--,--,35,--,--
229,College Gardens ES,"1700 Yale Place  Rockville, MD  20850",ES,01,141,73,68,--,37,--,53,--,--,--,32,--,--
229,College Gardens ES,"1700 Yale Place  Rockville, MD  20850",ES,02,167,89,78,--,34,27,68,25,--,--,29,24,--
